Size= 32,,,
1,,,
0.332621,,,
577,65962,,"1,78623266897747"
2,,,0
0.336422,,,#VALUE!
572,66019,,"1,80340362762238"
3,,,0
0.338162,,,#VALUE!
618,66143,,"1,67230481391586"
4,,,0
0.335295,,,#VALUE!
599,65927,,"1,71971515025042"
5,,,0
0.343211,,,#VALUE!
572,65816,,"1,79785839160839"
Size= 128,,,#VALUE!
1,,,0
19.747923,,,#VALUE!
1283,4230354,,"51,5193150818394"
2,,,0
19.527980,,,#VALUE!
909,4274516,,"73,4755913091309"
3,,,0
20.051248,,,#VALUE!
1558,4311775,,"43,2422877888318"
4,,,0
19.604323,,,#VALUE!
1194,4271388,,"55,8965138190955"
5,,,0
19.759756,,,#VALUE!
1198,4331540,,"56,4944177796327"
Size= 1024,,,#VALUE!
1,,,0
12494.907427,,,#VALUE!
185016,3557533125,,"300,441340630675"
2,,,0
9923.868601,,,#VALUE!
39693,2190457195,,"862,265227417303"
3,,,0
20863.733011,,,#VALUE!
186760,8471885131,,"708,787776675278"
4,,,0
9941.769048,,,#VALUE!
73016,2188149050,,"468,251190235702"
5,,,0
9944.325810,,,#VALUE!
81718,2223093568,,"425,069592990528"
Size= 2048,,,#VALUE!
1,,,0
101482.560355,,,#VALUE!
1969383,28612902827,,"227,013540114785"
2,,,0
79285.119668,,,#VALUE!
147496,17513546409,,"1855,29887346521"
3,,,0
189449.165930,,,#VALUE!
5554996,53890741042,,"151,58297661803"
4,,,0
59596.446515,,,#VALUE!
294344,17516052929,,"929,824718749575"
5,,,0
59569.269625,,,#VALUE!
803061,17778744864,,"345,91754362371"
