,,,,,,,,,,,,,,,,,,
Size= 32,,,,,Size= 32,,,,,Size= 32,,,,,Size= 32,,,
1,,,,,1,,,,,1,,,,,1,,,
0.332580,,,,,0.335883,,,,,0.334468,,,,,0.249605,,,
3706081,120827618,60232127,"2,04688292254029",,3704960,120831806,60232127,"2,04621645990646",,3704761,120832287,60232127,"2,04610111846715",,3704589,120829252,60232127,"2,04604042035933"
2,,,,,2,,,,,2,,,,,2,,,
0.328215,,,,,0.323451,,,,,0.336264,,,,,0.244427,,,
3705009,120827792,60232127,"2,04628888627748",,3705344,120831348,60232127,"2,04643371613187",,3704821,120831849,60232127,"2,04613920551485",,3705227,120829125,60232127,"2,04639422243695"
3,,,,,3,,,,,3,,,,,3,,,
0.329789,,,,,0.354748,,,,,0.352357,,,,,0.255056,,,
3705008,120831912,60232127,"2,04624177195119",,3704934,120831688,60232127,"2,04620343385563",,3705067,120831446,60232127,"2,04627962356625",,3705013,120829045,60232127,"2,04627693451581"
4,,,,,4,,,,,4,,,,,4,,,
0.332491,,,,,0.336454,,,,,0.336189,,,,,0.249988,,,
3704840,120842757,60234180,"2,04600324115268",,3704794,120842917,60234180,"2,04597602975709",,3704691,120843094,60234180,"2,04591714805691",,3704865,120840122,60234180,"2,04604682115522"
5,,,,,5,,,,,5,,,,,5,,,
0.344444,,,,,0.347025,,,,,0.345574,,,,,0.265594,,,
3705050,120865347,60238286,"2,04581760101963",,3705092,120864678,60238286,"2,04584834956097",,3705719,120865239,60238286,"2,0461882230067",,3704746,120863908,60238286,"2,04566599563117"
Size= 128,,,,,Size= 128,,,,,Size= 128,,,,,Size= 128,,,
1,,,,,1,,,,,1,,,,,1,,,
19.697169,,,,,19.719758,,,,,19.700394,,,,,15.293674,,,
3845708,170455523,74713727,"1,56859312495348",,3849109,170456020,74713727,"1,56997714730276",,3844879,170456076,74713727,"1,56825145387093",,3845794,170452937,74713727,"1,56864474853726"
2,,,,,2,,,,,2,,,,,2,,,
19.568153,,,,,19.574177,,,,,19.570090,,,,,15.149201,,,
3840413,170455918,74713727,"1,56643086871542",,3840386,170455722,74713727,"1,5664211082026",,3840381,170456050,74713727,"1,5664169731655",,3840097,170453108,74713727,"1,56631993067088"
3,,,,,3,,,,,3,,,,,3,,,
20.029885,,,,,20.009121,,,,,20.000096,,,,,15.625980,,,
3982482,170456017,74713727,"1,62437743541471",,3982763,170456183,74713727,"1,62449094997017",,3985346,170455541,74713727,"1,62554876168248",,3991205,170453546,74713727,"1,62795178620762"
4,,,,,4,,,,,4,,,,,4,,,
19.614347,,,,,19.671308,,,,,19.649844,,,,,14.723285,,,
3841187,170636302,74746500,"1,56538558068955",,3841518,170635385,74746500,"1,56552632236891",,3841164,170636094,74746500,"1,56537753447989",,3840927,170632587,74746500,"1,565303321876"
5,,,,,5,,,,,5,,,,,5,,,
19.760158,,,,,19.723842,,,,,19.698505,,,,,14.894310,,,
3844628,170993659,74812046,"1,56409225733797",,3843412,170994040,74812046,"1,56359513409281",,3843780,170993831,74812046,"1,56374617519824",,3843222,170991361,74812046,"1,56353487809874"
Size= 1024,,,,,Size= 1024,,,,,Size= 1024,,,,,Size= 1024,,,
1,,,,,1,,,,,1,,,,,1,,,
12487.332166,,,,,12488.535862,,,,,12537.804869,,,,,9432.508536,,,
1415530847,25896348006,7578292607,"4,22866630105141",,1416396164,25896279667,7578292607,"4,23125993188605",,1416890847,25896341803,7578292607,"4,23272986239613",,1415473120,25896101950,7578292607,"4,22852493295955"
2,,,,,2,,,,,2,,,,,2,,,
9921.036256,,,,,9918.454068,,,,,9919.830416,,,,,7511.401382,,,
71629903,25895724071,7578292607,"0,21398657857238",,71625707,25895748677,7578292607,"0,213973886189343",,71632119,25895755279,7578292607,"0,213992999125627",,71591455,25895671326,7578292607,"0,213872056333974"
3,,,,,3,,,,,3,,,,,3,,,
20825.505468,,,,,20883.853377,,,,,20917.938532,,,,,18020.290590,,,
2703353322,25897068963,7578292607,"8,07565085248458",,2705134332,25897059275,7578292607,"8,08097355193024",,2704940027,25897087494,7578292607,"8,08038629834466",,2707018244,25896436731,7578292607,"8,08675170056427"
4,,,,,4,,,,,4,,,,,4,,,
9941.161524,,,,,9938.941188,,,,,9937.180091,,,,,7485.865591,,,
72217357,25907268651,7580389764,"0,215653647994844",,72208550,25907268329,7580389764,"0,215627350827181",,72208401,25907239559,7580389764,"0,215627091137221",,72185591,25907180843,7580389764,"0,215559354385985"
5,,,,,5,,,,,5,,,,,5,,,
9941.085777,,,,,9940.637130,,,,,9936.320201,,,,,7462.335981,,,
73377354,25930331447,7584584078,"0,218939397132793",,73368786,25930288721,7584584078,"0,218914111475277",,73376175,25930321362,7584584078,"0,218935945176279",,73349089,25930184765,7584584078,"0,218856019397311"
Size= 2048,,,,,Size= 2048,,,,,Size= 2048,,,,,Size= 2048,,,
1,,,,,1,,,,,1,,,,,1,,,
101715.225962,,,,,104941.963794,,,,,102276.504986,,,,,81376.907352,,,
12394519896,206309498535,60197935487,"4,65072201137055",,12390839166,206310002667,60197935487,"4,64933211814503",,12386808652,206309669024,60197935487,"4,64782559384295",,12391781569,206307926016,60197935487,"4,64972196075339"
2,,,,,2,,,,,2,,,,,2,,,
79315.277464,,,,,79289.667180,,,,,79294.612240,,,,,59525.138795,,,
549301468,206305554830,60197935487,"0,206114174094537",,548172228,206305391450,60197935487,"0,205690575911491",,548421809,206305406982,60197935487,"0,205784214156261",,548032360,206304100775,60197935487,"0,205639089174248"
3,,,,,3,,,,,3,,,,,3,,,
197818.495826,,,,,197841.845413,,,,,194343.413247,,,,,167834.541899,,,
22382751228,206318969067,60197935487,"8,39824823324291",,22432387349,206319095767,60197935487,"8,41686823669485",,22354234995,206318788852,60197935487,"8,38755430843664",,23119360923,206317044494,60197935487,"8,67469472997285"
4,,,,,4,,,,,4,,,,,4,,,
79434.086015,,,,,79422.430676,,,,,79449.851356,,,,,61759.190141,,,
553156309,206351456886,60206324100,"0,20751835003798",,551814768,206351439272,60206324100,"0,207015080341106",,551590311,206351277508,60206324100,"0,20693100015627",,551057356,206351119385,60206324100,"0,206731182890794"
5,,,,,5,,,,,5,,,,,5,,,
79418.945950,,,,,79407.726167,,,,,72718.457909,,,,,61729.893758,,,
557977789,206443642237,60223101326,"0,209241610537828",,558207558,206443910928,60223101326,"0,209327562971421",,558856926,206443397987,60223101326,"0,209571478772083",,557544434,206443074185,60223101326,"0,209079547839768"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Size= 32,,,,,Size= 32,,,,,Size= 32,,,,,Size= 32,,,
1,,,,,1,,,,,1,,,,,1,,,
0.269956,,,,,0.263458,,,,,0.248619,,,,,0.251094,,,
3704962,120830506,60232127,"2,04623225599508",,3704648,120829923,60232127,"2,04606542342805",,3704805,120828952,60232127,"2,04616310720207",,3704654,120828869,60232127,"2,04608064787184"
2,,,,,2,,,,,2,,,,,2,,,
0.239003,,,,,0.272841,,,,,0.248932,,,,,0.250959,,,
3704797,120830111,60232127,"2,04614559110884",,3705016,120829792,60232127,"2,04627014916372",,3704708,120829160,60232127,"2,04610718358585",,3704708,120829063,60232127,"2,04610827974786"
3,,,,,3,,,,,3,,,,,3,,,
0.269490,,,,,0.258347,,,,,0.247996,,,,,0.255048,,,
3704899,120830502,60232127,"2,04619750660972",,3704840,120830840,60232127,"2,04616110151338",,3704654,120828695,60232127,"2,04608261416156",,3704726,120828579,60232127,"2,04612369069189"
4,,,,,4,,,,,4,,,,,4,,,
0.242817,,,,,0.250128,,,,,0.249843,,,,,0.243385,,,
3704588,120841519,60234180,"2,04587806119694",,3704931,120841845,60234180,"2,04606380110233",,3705015,120840222,60234180,"2,04612853008345",,3704695,120839499,60234180,"2,04595997632544"
5,,,,,5,,,,,5,,,,,5,,,
0.254924,,,,,0.278653,,,,,0.257256,,,,,0.259492,,,
3704787,120863608,60238286,"2,04569202351909",,3704887,120863568,60238286,"2,04574769289772",,3704544,120861868,60238286,"2,04557749851499",,3704722,120862075,60238286,"2,04567344843669"
Size= 128,,,,,Size= 128,,,,,Size= 128,,,,,Size= 128,,,
1,,,,,1,,,,,1,,,,,1,,,
15.308912,,,,,15.418316,,,,,14.851990,,,,,14.799680,,,
3845813,170454579,74713727,"1,56864199241153",,3848370,170454439,74713727,"1,56968584575536",,3845212,170452645,74713727,"1,56840922702074",,3846508,170452665,74713727,"1,56893771965286"
2,,,,,2,,,,,2,,,,,2,,,
15.201929,,,,,15.175809,,,,,14.676014,,,,,14.657263,,,
3839888,170454091,74713727,"1,56622840278327",,3839985,170453921,74713727,"1,56626905357431",,3840033,170452056,74713727,"1,5663005469242",,3839846,170452477,74713727,"1,56622158248206"
3,,,,,3,,,,,3,,,,,3,,,
15.523798,,,,,15.585830,,,,,15.148866,,,,,15.013339,,,
3989012,170454407,74713727,"1,62705158085512",,3994989,170454128,74713727,"1,629491353995",,3990547,170452918,74713727,"1,62768756736872",,3970858,170453011,74713727,"1,6196560889104"
4,,,,,4,,,,,4,,,,,4,,,
15.238307,,,,,15.263854,,,,,14.731082,,,,,14.863006,,,
3841171,170633585,74746500,"1,5653963931099",,3840930,170633835,74746500,"1,56529658336313",,3840781,170632196,74746500,"1,56524631624907",,3840842,170632210,74746500,"1,5652710864769"
5,,,,,5,,,,,5,,,,,5,,,
15.419048,,,,,15.273488,,,,,14.814679,,,,,14.810507,,,
3843892,170992417,74812046,"1,56380073538372",,3843591,170992711,74812046,"1,56367641005418",,3843518,170991026,74812046,"1,56365743061177",,3843624,170990801,74812046,"1,56370198592533"
Size= 1024,,,,,Size= 1024,,,,,Size= 1024,,,,,Size= 1024,,,
1,,,,,1,,,,,1,,,,,1,,,
9703.941366,,,,,9731.691058,,,,,9390.591112,,,,,9385.264731,,,
1414322728,25896178722,7578292607,"4,22507861020266",,1416551127,25896175086,7578292607,"4,23173608014153",,1416938154,25896026955,7578292607,"4,23291099726641",,1416921637,25896018256,7578292607,"4,23286275496162"
2,,,,,2,,,,,2,,,,,2,,,
7713.104534,,,,,7727.266836,,,,,7442.925709,,,,,7448.424988,,,
71598801,25895699043,7578292607,"0,21389382464042",,71605846,25895721552,7578292607,"0,213914726987554",,71595948,25895631228,7578292607,"0,213885734916861",,71598892,25895612276,7578292607,"0,213894650923628"
3,,,,,3,,,,,3,,,,,3,,,
16425.653031,,,,,16347.540900,,,,,15758.252897,,,,,15712.191833,,,
2704770656,25896862785,7578292607,"8,07993457932206",,2704132411,25896894814,7578292607,"8,07802022731504",,2703971942,25896660624,7578292607,"8,07759737060945",,2705278741,25896535680,7578292607,"8,08153134589969"
4,,,,,4,,,,,4,,,,,4,,,
7720.800934,,,,,7745.738064,,,,,7455.873713,,,,,7454.937615,,,
72189917,25907230333,7580389764,"0,21557195402628",,72189975,25907261516,7580389764,"0,21557192648836",,72183792,25907147252,7580389764,"0,21555419846348",,72179847,25907175582,7580389764,"0,21554223561559"
5,,,,,5,,,,,5,,,,,5,,,
7733.327197,,,,,7755.901903,,,,,7458.662166,,,,,7462.713021,,,
73349004,25930277084,7584584078,"0,218855162924455",,73356383,25930307240,7584584078,"0,218876983081852",,73346563,25930197152,7584584078,"0,218848401535575",,73360499,25930204032,7584584078,"0,218889938254185"
Size= 2048,,,,,Size= 2048,,,,,Size= 2048,,,,,Size= 2048,,,
1,,,,,1,,,,,1,,,,,1,,,
80207.092436,,,,,83378.026309,,,,,79007.522282,,,,,76684.243481,,,
12394059624,206308009950,60197935487,"4,65057528216753",,12391468387,206308535963,60197935487,"4,64959380520139",,12392806055,206307534870,60197935487,"4,65011319970247",,12388508810,206307152003,60197935487,"4,64850743626605"
2,,,,,2,,,,,2,,,,,2,,,
59627.687468,,,,,59545.385382,,,,,59536.513071,,,,,61683.216581,,,
547793379,206304210607,60197935487,"0,205549331226317",,547760836,206304068238,60197935487,"0,205537229868345",,547806205,206304389307,60197935487,"0,205554006113621",,547911484,206305018486,60197935487,"0,205593024704525"
3,,,,,3,,,,,3,,,,,3,,,
171716.311368,,,,,168322.301448,,,,,170173.780462,,,,,174215.734553,,,
23233590247,206318111192,60197935487,"8,71752021557758",,23339242785,206316693515,60197935487,"8,75720889033257",,23405595441,206317087575,60197935487,"8,78209234589943",,23277185163,206318735447,60197935487,"8,73385709097513"
4,,,,,4,,,,,4,,,,,4,,,
61886.568789,,,,,59616.725309,,,,,59630.623268,,,,,61904.590243,,,
550977510,206351396069,60206324100,"0,206701013818199",,550982314,206350333128,60206324100,"0,206703640317906",,551780761,206350357389,60206324100,"0,207003162673591",,551292476,206351300651,60206324100,"0,206819248376399"
5,,,,,5,,,,,5,,,,,5,,,
61795.618388,,,,,59630.595757,,,,,59625.209068,,,,,61932.283738,,,
557410885,206443251924,60223101326,"0,209029327549782",,557388745,206442522756,60223101326,"0,209021596585168",,558098874,206442627392,60223101326,"0,209287813879597",,557449081,206443245576,60223101326,"0,209043656042906"
